lot,ocena
PA/156,71
PA/157,83
PA/158,74
PA/159,77
PA/160,70
PA/161,72
PA/162,84
PA/163,69
PA/164,78
PA/165,85
PA/166,87
PA/167,78
PA/168,79
PA/169,84
PA/170,73
PA/171,78
PA/172,72
PA/173,73
PA/174,84
PA/175,83
PA/176,86
PA/177,70
PA/178,68
PA/179,80
PA/180,81
PA/181,74
PA/182,69
PA/183,77
PA/184,72
PA/185,78
PA/186,82
PA/187,83
PA/188,69
PA/189,80
PA/190,75
PA/191,87
PA/192,85
PA/193,83
PA/194,76
PA/195,85
PA/196,69
PA/197,67
PA/198,86
PA/199,75
PA/200,68
PA/201,80
PA/202,83
PA/203,72
PA/204,74
PA/205,68
PA/206,76
PA/207,70
PA/208,86
PA/209,71
PA/210,81
PA/211,69
PA/212,70
PA/213,80
PA/214,79
PA/215,73
PA/216,70
PA/217,73
PA/218,74
PA/219,75
PA/220,82
PA/221,70
PA/222,83
PA/223,72
PA/224,69
PA/225,84
PA/226,69
PA/227,84
PA/228,77
PA/229,75
PA/230,85
PA/231,76
PA/232,80
PA/233,67
PA/234,73
PA/235,84
PA/236,78
PA/237,70
PA/238,77
PA/239,83
PA/240,80
PA/241,83
PA/242,82
PA/243,77
PA/244,79
PA/245,70
PA/246,86
PA/247,70
PA/248,84
PA/249,77
PA/250,69
PA/251,83
PA/252,79
PA/253,67
PA/254,67
PA/255,69
PA/256,86
PA/257,83
PA/258,69
PA/259,73
PA/260,83
PA/261,67
PA/262,78
PA/263,68
PA/264,79
PA/265,84
PA/266,74
PA/267,76
PA/268,79
PA/269,72
PA/270,82
PA/271,84
PA/272,78
PA/273,77
PA/274,82
PA/275,86
PA/276,75
PA/277,83
PA/278,81
PA/279,87
PA/280,76
PA/281,79
PA/282,69
PA/283,77
PA/284,82
PA/285,80
PA/286,82
PA/287,85
PA/288,79
PA/289,84
PA/290,87
PA/291,74
PA/292,74
PA/293,67
PA/294,83
PA/295,77
PA/296,77
PA/297,68
PA/298,77
PA/299,83
PA/300,85
PA/301,67
PA/302,80
PA/303,69
PA/304,69
PA/305,73
PA/306,70
PA/307,71
PA/308,71
PA/309,82
PA/310,80
PA/311,84
PA/312,70
PA/313,75
PA/314,77
PA/315,84
PA/316,69
PA/317,72
PA/318,83
PA/319,67
PA/320,85
PA/321,83
PA/322,85
PA/323,71
PA/324,72
PA/325,76
PA/326,75
PA/327,85
PA/328,67
PA/329,68
PA/330,70
PA/331,76
PA/332,78
PA/333,69
PA/334,83
PA/335,71
PA/336,69
PA/337,80
PA/338,84
PA/339,68
PA/340,77
PA/341,81
PA/342,80
PA/343,83
PA/344,78
PA/345,81
PA/346,80
PA/347,67
PA/348,68
PA/349,73
PA/350,68
PA/351,73
PA/352,68
PA/353,82
PA/354,85
PA/355,71
PA/356,79
PA/357,79
PA/358,87
PA/359,78
PA/360,71
PA/361,72
PA/362,68
PA/363,73
PA/364,81
PA/365,83
PA/366,70
PA/367,85
PA/368,68
PA/369,76
PA/370,84
PA/371,69
PA/372,75
PA/373,83
PA/374,77
PA/375,71
PA/376,76
PA/377,72
PA/378,72
PA/379,72
PA/380,86
PA/381,74
PA/382,87
PA/383,78
PA/384,82
PA/385,75
PA/386,85
PA/387,80
PA/388,72
PA/389,68
PA/390,85
PA/391,84
PA/392,79
PA/393,77
PA/394,76
PA/395,80
PA/396,80
PA/397,81
PA/398,72
PA/399,72
PA/400,85
PA/401,75
PA/402,68
PA/403,85
PA/404,81
PA/405,86
PA/406,81
PA/407,72
PA/408,77
PA/409,74
PA/410,86
PA/411,74
PA/412,83
PA/413,82
PA/414,82
PA/415,68
PA/416,77
PA/417,73
PA/418,85
PA/419,74
PA/420,83
PA/421,67
PA/422,85
PA/423,85
PA/424,84
PA/425,85
PA/426,85
PA/427,72
PA/428,77
PA/429,72
PA/430,69
PA/431,69
PA/432,74
PA/433,67
PA/434,79
PA/435,78
PA/436,75
PA/437,84
PA/438,82
PA/439,67
PA/440,70
PA/441,75
PA/442,82
PA/443,85
PA/444,67
PA/445,78
PA/446,75
PA/447,74
PA/448,85
PA/449,80
PA/450,74
PA/451,83
PA/452,69
PA/453,74
PA/454,74
PA/455,78
PA/456,74
PA/457,68
PA/458,84
PA/459,74
PA/460,81
PA/461,68
PA/462,75
PA/463,73
PA/464,84
PA/465,73
PA/466,68
PA/467,74
PA/468,69
PA/469,81
PA/470,82
PA/471,81
PA/472,83
PA/473,81
PA/474,70
PA/475,82
PA/476,69
PA/477,74
PA/478,69
PA/479,73
PA/480,81
PA/481,77
PA/482,86
PA/483,79
PA/484,77
PA/485,68
PA/486,70
PA/487,84
PA/488,84
PA/489,83
PA/490,80
PA/491,86
PA/492,67
PA/493,83
PA/494,70
PA/495,76
PA/496,71
PA/497,81
PA/498,82
PA/499,74
PA/500,79
PA/501,83
PA/502,82
PA/503,76
PA/504,84
PA/505,86
PA/506,80
PA/507,69
PA/508,70
PA/509,80
PA/510,73
PA/511,83
PA/512,77
PA/513,81
PA/514,70
PA/515,81
PA/516,69
PA/517,79
PA/518,72
PA/519,74
PA/520,81
PA/521,79
PA/522,84
PA/523,83
PA/524,87
PA/525,85
PA/526,75
PA/527,80
PA/528,75
PA/529,86
PA/530,83
PA/531,74
PA/532,87
PA/533,76
PA/534,79
PA/535,82
PA/536,74
PA/537,87
PA/538,79
PA/539,79
PA/540,68
PA/541,79
PA/542,69
PA/543,73
PA/544,73
PA/545,75
PA/546,78
PA/547,80
PA/548,67
PA/549,75
PA/550,80
PA/551,68
PA/552,85
PA/553,83
PA/554,75
PA/555,72
PA/556,87
PA/557,81
PA/558,87
PA/559,82
PA/560,79
PA/561,76
PA/562,68
PA/563,73
PA/564,70
PA/565,78
PA/566,79
PA/567,70
PA/568,76
PA/569,70
PA/570,85
PA/571,76
PA/572,83
PA/573,84
PA/574,75
PA/575,81
PA/576,86
PA/577,87
PA/578,82
PA/579,84
PA/580,86
PA/581,75
PA/582,76
PA/583,84
PA/584,87
PA/585,85
PA/586,82
PA/587,74
PA/588,77
PA/589,85
PA/590,87
PA/591,75
PA/592,87
PA/593,81
PA/594,79
PA/595,86
PA/596,77
PA/597,82
PA/598,70
PA/599,74
PA/600,74
PA/601,69
PA/602,81
PA/603,70
PA/604,84
PA/605,69
PA/606,79
PA/607,87
PA/608,77
PA/609,76
PA/610,81
PA/611,73
PA/612,70
PA/613,70
PA/614,68
PA/615,87
PA/616,87
PA/617,71
PA/618,69
PA/619,74
PA/620,73
PA/621,78
PA/622,86
PA/623,71
PA/624,67
PA/625,71
PA/626,67
PA/627,67
PA/628,76
PA/629,82
PA/630,81
PA/631,70
PA/632,76
PA/633,70
PA/634,79
PA/635,80
PA/636,76
PA/637,72
PA/638,83
PA/639,79
PA/640,80
PA/641,67
PA/642,79
PA/643,72
PA/644,77
PA/645,77
PA/646,74
PA/647,74
PA/648,81
PA/649,71
PA/650,70
PA/651,79
PA/652,74
PA/653,71
PA/654,75
PA/655,70
PA/656,69
PA/657,68
PA/658,78
PA/659,71
PA/660,70
PA/661,71
PA/662,67
PA/663,86
PA/664,76
PA/665,85
PA/666,67
PA/667,71
PA/668,69
PA/669,76
PA/670,76
PA/671,75
PA/672,80
PA/673,80
PA/674,79
PA/675,70
PA/676,70
PA/677,75
PA/678,70
PA/679,86
PA/680,76
PA/681,87
PA/682,78
PA/683,86
PA/684,75
PA/685,79
PA/686,67
PA/687,71
PA/688,84
PA/689,83
PA/690,68
PA/691,72
PA/692,72
PA/693,71
PA/694,74
PA/695,79
PA/696,80
PA/697,87
PA/698,70
PA/699,71
PA/700,67
PA/701,84
PA/702,83
PA/703,68
PA/704,68
PA/705,82
PA/706,73
PA/707,75
PA/708,73
PA/709,69
PA/710,71
PA/711,74
PA/712,71
PA/713,69
PA/714,85
PA/715,84
PA/716,70
PA/717,73
PA/718,72
PA/719,80
PA/720,85
PA/721,82
PA/722,81
PA/723,84
PA/724,84
PA/725,80
PA/726,76
PA/727,79
PA/728,80
PA/729,68
PA/730,85
PA/731,70
PA/732,73
PA/733,74
PA/734,84
PA/735,72
PA/736,71
PA/737,68
PA/738,86
PA/739,70
PA/740,81
PA/741,76
PA/742,72
PA/743,76
PA/744,73
PA/745,76
PA/746,77
PA/747,80
PA/748,69
PA/749,78
PA/750,83
PA/751,79
PA/752,76
PA/753,84
PA/754,68
PA/755,85
PA/756,69
PA/757,80
PA/758,85
PA/759,80
PA/760,71
PA/761,80
PA/762,76
PA/763,74
PA/764,69
PA/765,78
PA/766,72
PA/767,75
PA/768,67
PA/769,69
PA/770,75
PA/771,72
PA/772,67
PA/773,87
PA/774,77
PA/775,78
PA/776,86
PA/777,67
PA/778,75
PA/779,79
PA/780,78
PA/781,71
PA/782,72
PA/783,82
PA/784,73
PA/785,69
PA/786,78
PA/787,72
PA/788,78
PA/789,72
PA/790,82
PA/791,85
PA/792,74
PA/793,78
PA/794,78
PA/795,74
PA/796,74
PA/797,85
PA/798,71
PA/799,67
PA/800,79
PA/801,81
PA/802,84
PA/803,70
PA/804,67
PA/805,72
PA/806,67
PA/807,83
PA/808,76
PA/809,76
PA/810,82
PA/811,82
PA/812,75
PA/813,80
PA/814,79
PA/815,72
PA/816,73
PA/817,74
PA/818,68
PA/819,67
PA/820,81
PA/821,75
PA/822,87
PA/823,81
PA/824,75
PA/825,67
PA/826,68
PA/827,78
PA/828,68
PA/829,81
PA/830,87
PA/831,75
PA/832,71
PA/833,74
PA/834,77
PA/835,71
PA/836,67
PA/837,87
PA/838,82
PA/839,82
PA/840,85
PA/841,67
PA/842,83
PA/843,81
PA/844,81
PA/845,86
PA/846,68
PA/847,86
PA/848,67
PA/849,86
PA/850,71
PA/851,76
PA/852,76
PA/853,76
PA/854,73
PA/855,87
PA/856,71
PA/857,81
PA/858,67
PA/859,82
PA/860,77
PA/861,70
PA/862,85
PA/863,72
PA/864,77
PA/865,71
PA/866,82
PA/867,74
PA/868,80
PA/869,75
PA/870,82
PA/871,70
PA/872,81
PA/873,69
PA/874,73
PA/875,82
PA/876,74
PA/877,67
PA/878,82
PA/879,85
PA/880,73
PA/881,76
PA/882,68
PA/883,68
PA/884,73
PA/885,70
PA/886,70
PA/887,73
PA/888,84
PA/889,81
PA/890,73
PA/891,82
PA/892,86
PA/893,81
PA/894,73
PA/895,77
PA/896,81
PA/897,82
PA/898,87
PA/899,67
PA/900,76
PA/901,72
PA/902,72
PA/903,69
PA/904,76
PA/905,69
PA/906,76
PA/907,74
PA/908,70
PA/909,77
PA/910,75
PA/911,73
PA/912,69
PA/913,69
PA/914,83
PA/915,75
PA/916,79
PA/917,87
PA/918,80
PA/919,80
PA/920,73
PA/921,82
PA/922,83
PA/923,85
PA/924,71
PA/925,84
PA/926,69
PA/927,79
PA/928,74
PA/929,76
PA/930,80
PA/931,86
PA/932,78
PA/933,68
PA/934,77
PA/935,87
PA/936,70
PA/937,84
PA/938,79
PA/939,68
PA/940,74
PA/941,83
PA/942,75
PA/943,67
PA/944,76
PA/945,74
PA/946,84
PA/947,85
PA/948,70
PA/949,83
PA/950,77
PA/951,69
PA/952,87
PA/953,68
PA/954,76
PA/955,73
PA/956,83
PA/957,75
PA/958,80
PA/959,75
PA/960,75
PA/961,85
PA/962,70
PA/963,85
PA/964,82
PA/965,83
PA/966,74
PA/967,68
PA/968,69
PA/969,79
PA/970,76
PA/971,75
PA/972,75
PA/973,80
PA/974,77
PA/975,72
PA/976,87
PA/977,82
PA/978,85
PA/979,82
PA/980,73
PA/981,82
PA/982,81
PA/983,83
PA/984,68
PA/985,76
PA/986,75
PA/987,80
PA/988,73
PA/989,86
PA/990,75
PA/991,82
PA/992,71
PA/993,78
PA/994,69
PA/995,85
PA/996,69
PA/997,73
PA/998,70
PA/999,69
PA/1000,78
PA/1001,72
PA/1002,77
PA/1003,71
PA/1004,77
PA/1005,81
PA/1006,81
PA/1007,67
PA/1008,74
PA/1009,71
PA/1010,69
PA/1011,85
PA/1012,77
PA/1013,73
PA/1014,85
PA/1015,72
PA/1016,71
PA/1017,76
PA/1018,70
PA/1019,74
PA/1020,68
PA/1021,81
PA/1022,79
PA/1023,69
PA/1024,83
PA/1025,78
PA/1026,86
PA/1027,76
PA/1028,75
PA/1029,78
PA/1030,78
PA/1031,78
PA/1032,81
PA/1033,73
PA/1034,81
PA/1035,78
PA/1036,80
PA/1037,70
PA/1038,86
PA/1039,70
PA/1040,80
PA/1041,80
PA/1042,73
PA/1043,81
PA/1044,78
PA/1045,78
PA/1046,83
PA/1047,85
PA/1048,68
PA/1049,68
PA/1050,77
PA/1051,67
PA/1052,73
PA/1053,87
PA/1054,70
PA/1055,73
PA/1056,78
PA/1057,73
PA/1058,67
PA/1059,87
PA/1060,87
PA/1061,70
PA/1062,68
PA/1063,80
PA/1064,86
PA/1065,70
PA/1066,77
PA/1067,69
PA/1068,67
PA/1069,83
PA/1070,71
PA/1071,87
PA/1072,75
PA/1073,72
PA/1074,75
PA/1075,71
PA/1076,76
PA/1077,70
PA/1078,84
PA/1079,87
PA/1080,83
PA/1081,85
PA/1082,68
PA/1083,77
PA/1084,85
PA/1085,85
PA/1086,84
PA/1087,86
PA/1088,73
PA/1089,72
PA/1090,69
PA/1091,76
PA/1092,83
PA/1093,80
PA/1094,80
PA/1095,84
PA/1096,73
PA/1097,69
PA/1098,74
PA/1099,72
PA/1100,73
PA/1101,68
PA/1102,69
PA/1103,72
PA/1104,85
PA/1105,80
PA/1106,67
PA/1107,80
PA/1108,72
PA/1109,68
PA/1110,76
PA/1111,79
PA/1112,80
PA/1113,67
PA/1114,67
PA/1115,81
PA/1116,85
PA/1117,81
PA/1118,82
PA/1119,82
PA/1120,85
PA/1121,70
PA/1122,86
PA/1123,84
PA/1124,72
PA/1125,76
PA/1126,73
PA/1127,75
PA/1128,76
PA/1129,72
PA/1130,82
PA/1131,85
PA/1132,67
PA/1133,76
PA/1134,72
PA/1135,85
PA/1136,84
PA/1137,84
PA/1138,76
PA/1139,76
PA/1140,85
PA/1141,82
PA/1142,81
PA/1143,84
PA/1144,67
PA/1145,85
PA/1146,77
PA/1147,77
PA/1148,69
PA/1149,70
PA/1150,74
PA/1151,84
PA/1152,75
PA/1153,73
PA/1154,86
PA/1155,68
PA/1156,76
PA/1157,73
PA/1158,74
PA/1159,85
PA/1160,86
PA/1161,67
PA/1162,82
PA/1163,72
PA/1164,85
PA/1165,86
PA/1166,72
PA/1167,69
PA/1168,83
PA/1169,73
PA/1170,69
PA/1171,76
PA/1172,78
PA/1173,84
PA/1174,74
PA/1175,84
PA/1176,85
PA/1177,70
PA/1178,84
PA/1179,81
PA/1180,75
PA/1181,87
PA/1182,71
PA/1183,86
PA/1184,82
PA/1185,87
PA/1186,84
PA/1187,78
PA/1188,76
PA/1189,72
PA/1190,86
PA/1191,69
PA/1192,75
PA/1193,78
PA/1194,69
PA/1195,78
PA/1196,70
PA/1197,84
PA/1198,86
PA/1199,84
PA/1200,79
PA/1201,78
PA/1202,85
PA/1203,75
PA/1204,69
PA/1205,83
PA/1206,76
PA/1207,77
PA/1208,75
PA/1209,86
PA/1210,78
PA/1211,85
PA/1212,68
PA/1213,87
PA/1214,69
PA/1215,67
PA/1216,73
PA/1217,79
PA/1218,75
PA/1219,85
PA/1220,82
PA/1221,75
PA/1222,70
PA/1223,72
PA/1224,86
PA/1225,85
PA/1226,79
PA/1227,77
PA/1228,77
PA/1229,82
PA/1230,85
PA/1231,84
PA/1232,74
PA/1233,77
PA/1234,77
PA/1235,85
PA/1236,84
PA/1237,68
PA/1238,81
PA/1239,85
PA/1240,79
PA/1241,72
PA/1242,77
PA/1243,77
PA/1244,81
PA/1245,67
PA/1246,81
PA/1247,80
PA/1248,72
PA/1249,77
PA/1250,71
PA/1251,74
PA/1252,70
PA/1253,79
PA/1254,85
PA/1255,74
PA/1256,87
PA/1257,74
PA/1258,82
PA/1259,80
PA/1260,86
PA/1261,67
PA/1262,80
PA/1263,71
PA/1264,86
PA/1265,79
PA/1266,77
PA/1267,78
PA/1268,87
PA/1269,87
PA/1270,74
PA/1271,77
PA/1272,73
PA/1273,87
PA/1274,82
PA/1275,71
PA/1276,76
PA/1277,86
PA/1278,86
PA/1279,72
PA/1280,83
PA/1281,75
PA/1282,85
PA/1283,76
PA/1284,79
PA/1285,77
PA/1286,82
PA/1287,71
PA/1288,78
PA/1289,73
PA/1290,80
PA/1291,72
PA/1292,80
PA/1293,71
PA/1294,73
PA/1295,75
PA/1296,78
PA/1297,82
PA/1298,78
PA/1299,82
PA/1300,73
PA/1301,86
PA/1302,70
PA/1303,82
PA/1304,85
PA/1305,69
PA/1306,85
PA/1307,87
PA/1308,74
PA/1309,82
PA/1310,70
PA/1311,77
PA/1312,86
PA/1313,76
PA/1314,71
PA/1315,77
PA/1316,78
PA/1317,85
PA/1318,76
PA/1319,73
PA/1320,87
PA/1321,80
PA/1322,77
PA/1323,68
PA/1324,78
PA/1325,77
PA/1326,86
PA/1327,69
PA/1328,72
PA/1329,79
PA/1330,75
PA/1331,75
PA/1332,78
PA/1333,67
PA/1334,86
PA/1335,68
PA/1336,76
PA/1337,80
PA/1338,82
PA/1339,80
PA/1340,83
PA/1341,84
PA/1342,87
PA/1343,71
PA/1344,78
PA/1345,85
PA/1346,71
PA/1347,84
PA/1348,84
PA/1349,76
PA/1350,67
PA/1351,82
PA/1352,68
PA/1353,75
PA/1354,72
PA/1355,74
PA/1356,83
PA/1357,77
PA/1358,75
PA/1359,84
PA/1360,80
PA/1361,77
PA/1362,87
PA/1363,76
PA/1364,69
PA/1365,86
PA/1366,70
PA/1367,86
PA/1368,84
PA/1369,74
PA/1370,87
PA/1371,84
PA/1372,77
PA/1373,67
PA/1374,78
PA/1375,71
PA/1376,76
PA/1377,84
PA/1378,83
PA/1379,85
PA/1380,84
PA/1381,78
PA/1382,73
PA/1383,78
PA/1384,67
PA/1385,74
PA/1386,84
PA/1387,67
PA/1388,76
PA/1389,83
PA/1390,76
PA/1391,80
PA/1392,72
PA/1393,83
PA/1394,83
PA/1395,85
PA/1396,87
PA/1397,78
PA/1398,68
PA/1399,73
PA/1400,68
PA/1401,70
PA/1402,80
PA/1403,68
PA/1404,85
PA/1405,74
PA/1406,67
PA/1407,86
PA/1408,87
PA/1409,77
PA/1410,78
PA/1411,70
PA/1412,80
PA/1413,79
PA/1414,86
PA/1415,77
PA/1416,79
PA/1417,83
PA/1418,69
PA/1419,82
PA/1420,69
PA/1421,75
PA/1422,86
PA/1423,74
PA/1424,67
PA/1425,85
PA/1426,84
PA/1427,72
PA/1428,77
PA/1429,84
PA/1430,81
PA/1431,80
PA/1432,87
PA/1433,81
PA/1434,86
PA/1435,67
PA/1436,85
PA/1437,73
PA/1438,86
PA/1439,79
PA/1440,79
PA/1441,72
PA/1442,87
PA/1443,78
PA/1444,79
PA/1445,85
PA/1446,75
PA/1447,78
PA/1448,77
PA/1449,81
PA/1450,68
PA/1451,72
PA/1452,82
PA/1453,85
PA/1454,70
PA/1455,76
PA/1456,71
PA/1457,69
PA/1458,71
PA/1459,83
PA/1460,79
PA/1461,77
PA/1462,71
PA/1463,84
PA/1464,80
PA/1465,73
PA/1466,75
PA/1467,75
PA/1468,83
PA/1469,74
PA/1470,71
PA/1471,85
PA/1472,67
PA/1473,84
PA/1474,79
PA/1475,82
PA/1476,79
PA/1477,72
PA/1478,82
PA/1479,73
PA/1480,76
PA/1481,72
PA/1482,70
PA/1483,81
PA/1484,69
PA/1485,71
PA/1486,86
PA/1487,85
PA/1488,71
PA/1489,76
PA/1490,72
PA/1491,80
PA/1492,81
PA/1493,70
PA/1494,85
PA/1495,71
PA/1496,76
PA/1497,86
PA/1498,71
PA/1499,73
PA/1500,73
PA/1501,68
PA/1502,81
PA/1503,68
PA/1504,83
PA/1505,86
PA/1506,86
PA/1507,70
PA/1508,81
PA/1509,71
PA/1510,83
PA/1511,76
PA/1512,80
PA/1513,70
PA/1514,79
PA/1515,70
PA/1516,86
PA/1517,71
PA/1518,68
PA/1519,75
PA/1520,68
PA/1521,79
PA/1522,78
PA/1523,73
PA/1524,74
PA/1525,69
PA/1526,67
PA/1527,71
PA/1528,68
PA/1529,71
PA/1530,78
PA/1531,85
PA/1532,74
PA/1533,86
PA/1534,70
PA/1535,83
PA/1536,84
PA/1537,72
PA/1538,86
PA/1539,71
PA/1540,86
PA/1541,82
PA/1542,70
PA/1543,84
PA/1544,72
PA/1545,87
PA/1546,79
PA/1547,67
PA/1548,72
PA/1549,69
PA/1550,82
PA/1551,69
PA/1552,78
PA/1553,67
PA/1554,67
PA/1555,80
PA/1556,72
PA/1557,71
PA/1558,75
PA/1559,85
PA/1560,71
PA/1561,85
PA/1562,67
PA/1563,70
PA/1564,67
PA/1565,69
PA/1566,68
PA/1567,86
PA/1568,85
PA/1569,73
PA/1570,73
PA/1571,79
PA/1572,69
PA/1573,80
PA/1574,86
PA/1575,81
PA/1576,73
PA/1577,87
PA/1578,78
PA/1579,84
PA/1580,77
PA/1581,87
PA/1582,85
PA/1583,69
PA/1584,77
PA/1585,87
PA/1586,72
PA/1587,74
PA/1588,69
PA/1589,72
PA/1590,85
PA/1591,84
PA/1592,84
PA/1593,85
PA/1594,79
PA/1595,74
PA/1596,71
PA/1597,83
PA/1598,80
PA/1599,85
PA/1600,86
PA/1601,78
PA/1602,79
PA/1603,67
PA/1604,83
PA/1605,72
PA/1606,73
PA/1607,80
PA/1608,67
PA/1609,76
PA/1610,85
PA/1611,80
PA/1612,80
PA/1613,79
PA/1614,80
PA/1615,84
PA/1616,71
PA/1617,87
PA/1618,82
PA/1619,72
PA/1620,86
PA/1621,70
PA/1622,75
PA/1623,81
PA/1624,79
PA/1625,78
PA/1626,77
PA/1627,80
PA/1628,71
PA/1629,82
PA/1630,79
PA/1631,77
PA/1632,86
PA/1633,67
PA/1634,72
PA/1635,87
PA/1636,71
PA/1637,84
PA/1638,75
PA/1639,76
PA/1640,74
PA/1641,83
PA/1642,80
PA/1643,87
PA/1644,79
PA/1645,83
PA/1646,72
PA/1647,73
PA/1648,69
PA/1649,75
PA/1650,71
PA/1651,71
PA/1652,70
PA/1653,86
PA/1654,76
PA/1655,80
PA/1656,86
PA/1657,76
PA/1658,75
PA/1659,80
PA/1660,80
PA/1661,85
PA/1662,72
PA/1663,68
PA/1664,68
PA/1665,72
PA/1666,77
PA/1667,85
PA/1668,78
PA/1669,77
PA/1670,78
PA/1671,80
PA/1672,68
PA/1673,81
PA/1674,70
PA/1675,82
PA/1676,67
PA/1677,70
PA/1678,71
PA/1679,69
PA/1680,83
PA/1681,75
PA/1682,76
PA/1683,82
PA/1684,67
PA/1685,85
PA/1686,72
PA/1687,74
PA/1688,73
PA/1689,72
PA/1690,81
PA/1691,79
PA/1692,68
PA/1693,78
PA/1694,72
PA/1695,78
PA/1696,68
PA/1697,86
PA/1698,84
PA/1699,85
PA/1700,74
PA/1701,72
PA/1702,85
PA/1703,83
PA/1704,85
PA/1705,80
PA/1706,82
PA/1707,74
PA/1708,67
PA/1709,67
PA/1710,67
PA/1711,68
PA/1712,76
PA/1713,68
PA/1714,79
PA/1715,79
PA/1716,70
PA/1717,77
PA/1718,70
PA/1719,82
PA/1720,74
PA/1721,79
PA/1722,83
PA/1723,79
PA/1724,71
PA/1725,73
PA/1726,73
PA/1727,75
PA/1728,73
PA/1729,71
PA/1730,86
PA/1731,83
PA/1732,82
PA/1733,79
PA/1734,72
PA/1735,84
PA/1736,81
PA/1737,87
PA/1738,79
PA/1739,70
PA/1740,82
PA/1741,81
PA/1742,74
PA/1743,83
PA/1744,85
PA/1745,81
PA/1746,72
PA/1747,67
PA/1748,72
PA/1749,71
PA/1750,73
PA/1751,79
PA/1752,75
PA/1753,76
PA/1754,74
PA/1755,75
PA/1756,79
PA/1757,78
PA/1758,67
PA/1759,67
PA/1760,73
PA/1761,68
PA/1762,84
PA/1763,82
PA/1764,70
PA/1765,67
PA/1766,78
PA/1767,79
PA/1768,71
PA/1769,84
PA/1770,67
PA/1771,75
PA/1772,67
PA/1773,75
PA/1774,69
PA/1775,69
PA/1776,77
PA/1777,73
PA/1778,82
PA/1779,69
PA/1780,73
PA/1781,81
PA/1782,81
PA/1783,73
PA/1784,79
PA/1785,76
PA/1786,73
PA/1787,81
PA/1788,77
PA/1789,83
PA/1790,67
PA/1791,82
PA/1792,70
PA/1793,69
PA/1794,83
PA/1795,74
PA/1796,83
PA/1797,68
PA/1798,69
PA/1799,72
PA/1800,81
PA/1801,85
PA/1802,84
PA/1803,78
PA/1804,68
PA/1805,69
PA/1806,86
PA/1807,70
PA/1808,69
PA/1809,83
PA/1810,79
PA/1811,83
PA/1812,71
PA/1813,67
PA/1814,79
PA/1815,74
PA/1816,83
PA/1817,87
PA/1818,80
PA/1819,82
PA/1820,82
PA/1821,79
PA/1822,76
PA/1823,74
PA/1824,67
PA/1825,69
PA/1826,78
PA/1827,87
PA/1828,77
PA/1829,74
PA/1830,81
PA/1831,87
PA/1832,71
PA/1833,70
PA/1834,77
PA/1835,77
PA/1836,76
PA/1837,87
PA/1838,79
PA/1839,75
PA/1840,74
PA/1841,75
PA/1842,68
PA/1843,76
PA/1844,83
PA/1845,68
PA/1846,80
PA/1847,80
PA/1848,69
PA/1849,77
PA/1850,69
PA/1851,68
PA/1852,72
PA/1853,71
PA/1854,68
PA/1855,81
PA/1856,77
PA/1857,80
PA/1858,73
PA/1859,81
PA/1860,80
PA/1861,77
PA/1862,75
PA/1863,77
PA/1864,74
PA/1865,85
PA/1866,72
PA/1867,70
PA/1868,83
PA/1869,82
PA/1870,70
PA/1871,70
PA/1872,81
PA/1873,78
